,title,description
560,Lucas Archives Volume 1 - PC,"[""Includes Indiana Jones and the Fate of Atlantis, Sam and Max Hit the Road, Star Wars Rebel Assault and Day of the Tentacle. BONUS - Includes DEMO of Full Throttle, Dark Forces, The Dig, Rebel Assault II and TIE Fighter Collector's."", ""<I>The LucasArts Archives Volume 1</I> proves that a game doesn't have to be new to be great. In one box you get three of the most creative adventure games ever produced, as well as a so-so <I>Star Wars</I> screen saver and a stingy three-level demo of <I>Rebel Assault</I>."", ""The adventure games at the core of this collection are well worth the price of admission. First, there's <I>Indiana Jones and the Fate of Atlantis</I>, a classic with good voice acting, terrific style, and a compelling story line that can play out in several ways. This was one of the first games to give players the choice of either fighting or thinking their way through puzzles, and we played it through three times before moving on to the other CD-ROMs in this collection."", ""The other titles certainly didn't disappoint. <I>Sam and Max Hit the Road</I> lets players guide Sam (a detective dog) and Max (his rabbit sidekick) through a series of twisted adventures. Don't let the talking-animal theme fool you--this is a cartoon for adults with plenty of over-the-top humor and some tricky puzzles."", '<I>Maniac Mansion 2: Day of the Tentacle</I> is another hilarious game, pitting three goofball characters against a mad purple tentacle bent on world domination. A time machine mishap leaves one character in the present, while one is whisked back to the past and the other is sent into the future. All three must work together, solving puzzles that will affect the characters in other time periods and let them progress. You can even access the original version of <I>Maniac Mansion</I>, an entertaining adventure in its own right, by using a computer terminal in this game.', ""Don't miss out on this incredible gaming bargain. <i>--T. Byrl Baker</i>"", '<b>Pros:</b> <ul> <li>Classic adventures all hold up well despite their age <li>All three games use superb voice acting instead of text messages </ul> <b>Cons:</b> <ul> <li>Extras, like the screen saver and demo CD-ROM, are pure fluff <li>These older DOS-based games can be tough to configure </ul>']"
561,DreamCast Visual Memory Card,['Official Sega Clear Blue VMU']
562,Indiana Jones and the Infernal Machine - PC,"[""An all new action-adventure epic starring Indiana Jones, the greatest action hero of all times.Whip, crawl, run, leap, swim and climb your way through amazing 3D environments. Puzzle your way through 16 chapters of gripping, action-packed story. explore dozens of exotic locales, from themysterious ruins of Babylon through the underground labrinths of the Olmecs. All the weapons you'll need, including post WWII era assault rifles, Red Army machine guns, bazookas, satchel charges and of course Indy's trusty whip and pistol. Enemies you'll encounter include Communist goons, the venomous Spider Idol, robot monsters, ice creatures and more."", 'If adventure has a name, it must be Indiana Jones. The year is 1947. Indy is back (this time in electrifying 3-D!) as a CIA recruit tasked with uncovering why Soviet agents are sniffing around the ruins of the fabled Tower of Babel. So hold onto your fedora and grab your whip in this heart-pounding action quest for the elusive ""Infernal Machine.""']"
563,InterAct MultiPlayer Adapter,['Platform:Sony PlayStation One (PS1) Model No: P-119A Brand:Perfermance Manufactured By: InterAct Function: Allows players to use up to four controllers and four memory cards at once for all Multi Tap compatible games on the PS1.']
564,DreamCast Mega Memory Card,['4X Memory Card Made By Performance For The Sega DReamcast System! Hold 800 Blocks Of Memory!']
565,Star Wars: TIE Fighter Collector's Edition with Behind the Magic Module - PC,"['Climb into one of seven Imperial starfighters - TIE Fighter, TIE Bomber, TIE Interceptor, TIE Advanced assault gunboat and others. Prove yourself worthy in the Imperial training simulator and virtual combat chamber. Exclusive secret society of elite pilots lure you with political intrigue. Customize game difficulty from fookie to ace to match your skill level. BONUS - Includes Behind the Magic Vehicle Sneak Preview.', ""This top-selling space combat simulator writes a new chapter in <i>Star Wars</i> gaming. See the immortal conflict between the Imperial Navy and the Rebel Alliance through the Empire's eyes. <P>Features: <BR>* Step into a 3-D world filled with Imperial and Rebel starfighters. <BR>* Fly a fleet of new spacecraft. <BR>* Get swept away in story line loaded with spectacular cinematic cut scenes. <BR>* Includes <i>Star Wars: Behind the Magic Vehicles Special Edition</i>.""]"
566,Sony PlayStation Video Game Console,"[""The Sony PlayStation (common abbreviations are PS, PS1, PSone, and PSX) is a video game console that was released by Sony Computer Entertainment, in Japan on December 3, 1994, and in North America on September 9, 1995. The PlayStation was the first of Sony Computer Entertainment's game consoles."", 'With a sub-$100 price tag and a massive software library, the Sony PlayStation is the undisputed king of home video game consoles. Although the PlayStation is no longer the fastest machine on the market, it does boast the broadest selection of software. Some of the hottest console games available today are created exclusively for the PlayStation, including several modern-day video gaming classics (<i>Metal Gear Solid</i>and<i>Crash Bandicoot</i> to name a few).', ""The Sony PlayStation truly shines with 3D-rendered action games, such as <i>Tomb Raider</i> and <i>Syphon Filter</i>. These and other 3D-based titles place players in the middle of elaborate gaming environments that take full advantage of the system's ability to render up to 360,000 polygons per second. The PlayStation also has the capability to display 16.8 million colors simultaneously and can support full-frame video playback at 30 frames per second. In addition to impressive graphics, the PlayStation also offers CD-quality sound. Each PlayStation disc has the capacity to store up to 650 MB of data--significantly more information than can be stored on cartridge-based games. As an added bonus, the PlayStation will even play your favorite music CDs (accompanied by a selection of cool graphics)."", ""Additionally, the PlayStation now comes packed with Sony's impressive dual shock controller, which allows players to feel every punch, kick, and rumble during gameplay. The controller features dual-analog thumb joysticks and round rubber grips for improved game control and comfort. Separate accessories that could enhance the PlayStation experience include an additional controller--allowing two-player action--and a memory card so players can save their progress in a game. <I>--Brett Atwood</I>""]"
567,Concept 4 Racing Wheel for Sega Dreamcast,['Concept 4 Racing Wheel for Sega Dreamcast']
568,USAF - PC,"[""Climb the pyramid to be the top pilot of the most advanced air force in the world: the USAF. Fly and train over U.S. soil in the F-16C Falcon and A-10 Warthog or an arsenal of six other planes. Then relive great historic air battles flying the rugged F-4E over Vietnam or the powerful F-15C in Operation Desert Storm. Finally, push the envelope flying the menacing F-117 Stealth Fighter and ultramodern F-22 Raptor as you project the power of the United States in futuristic campaigns over Europe. If that's not enough, take your skills to the Internet, flying against other aces on JanesCombat.Net."", ""A straight line runs from Chuck Yeager's Air Combat, one of the most revered and influential PC flight sims, to Jane's new survey sim USAF. The Jane's tradition of accessible flight simulations with plenty of planes and options has given us Air Combat, US Navy Fighters, Advanced Tactical Fighters, and Israeli Air Force, with steady improvement and little deviation from the formula. USAF is no exception, but is poised to take the survey sim into new territory. <P> The appeal of this sort of simulation is because of several factors: It has a lot of planes, numerous gameplay options, and moderate realism levels. Together these three elements create a package that gives the more casual fan a taste of air combat without the burden of too much detail. Hard-core simulation fans often shun such games for these same reasons, because the generic controls and lack of extreme realism or detail seem too far removed from the real-world complexities of in-depth sims like Flanker 2.0 and Falcon. <P> There's no question that USAF falls in the midrange on the realism scale. With eight flyable planes, you can't expect the refined flight model and sophisticated avionics of a stand-alone simulation. But for this trade-off you get those eight planes, each with unique cockpits and distinct, if not precise, flight models. To simplify things, controls are shared among the eight planes, so that the F-117 uses the same radar functions as the F-16, and so on. <P> USAF pushes the envelope by taking on several generations of air combat. Planes and missions come from Vietnam, the Gulf War, and the near future, creating a broad canvas of action rarely seen in a flight sim. You can fly in the F-15, F-16, F-22, F-117, F4, MiG 29, F-105, and A-10, plus some variations on these. This diversity serves as a sort of history lesson on the development of jet combat, as you go from the fast gunfights and rudimentary radar of the F-105 and F4 to the hi-tech stealth precision of the F-22. All three eras (past, present, and future) are ably served by full-blown campaigns illustrating the many roles of air combat. The four campaigns include a present-day training situation, Vietnam, the Gulf War, and a hypothetical near-future European conflict. Campaigns are semidynamic, meaning the missions are scripted with some randomization, and resources are tracked throughout the course of the campaign. If you use missiles and lose airframes carelessly, you'll probably find yourself short on funds later in the campaign. It's not the true dynamic battlefield found in the likes of Longbow and Falcon, but the missions are tight and the campaigns are satisfying. <P> The rest of the play options feature the stunning array of game types that are the trademark of the Jane's line. You can create almost any encounter you want with a quick mission option. Air-to-air and strike missions can be configured to pit any aircraft or group against any other in any situation, altitude, and position of advantage. Want to try a wing of Phantoms against a single Strike Eagle? It will take you about a minute. You can also simply start a random quick mission that will choose all these settings for you. Scripted stand-alone missions take on specific historical encounters and elaborate hypothetical scenarios that cover the entire range of air combat. USAF is playable online via Jane's Combat.net matching service, and will also form the core of the forthcoming Jane's World War: a massively multiplayer persistent-world air-combat arena. It will be your first point of entry to this ambitious project, but the beta and final launch dates of Jane's World War are uncertain as of this time. <P> Visually, USAF is inconsistent. The detail on the planes and objects is good, and while terrain looks decent from high altitudes, you'll see some real problems with it once you get down low. The landscape textures have visible seams. There's also an odd kind of texture pop-in as the terrain visibly smoothes during flight. Even the trees and bushes look funny: small, blinking, and quite distracting. Frame rates are adequate on a high-powered system, but the terrain problems in Pixel's Israeli Air Force persist in this newer simulation. In high-altitude aircraft this isn't a problem, but with the mud runs of the A-10 and F15, it becomes more of an issue. <P> Graphical flaws aside, USAF continues a revered tradition of accessible and diverse Jane's flight simulations. There are more missions and planes in this one package than in a dozen other recent sims, and its diverse features and the important place USAF will have in Jane's World War will keep it flying for a long, long time to come. <I>--Tony Lopez</I> <P> --<i>Copyright &copy;1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>""]"
569,Ted Nugent Hunting - PC,"[""Experience the thrill of the hunt with Ted Nugent. In this beautifully detailed 3-D hunting simulation, set in Nugent's Hunting World, Ted helps you bag exotic trophy game. Armed with an array of hunting gear, you stalk the most challenging and dangerous beasts of the wilderness, such as wild boar, grizzly bear, and buffalo. Study their droppings, markings, and scrapes to track them. Then select the right weapon to take them down.""]"
570,Star Wars: Dark Forces with 3-Levels of Jedi Knight - PC,"['Join the Rebel Alliance covert operatins division, infiltrte the Empire, then battle every man and machine the Imperial Forces can muster. First-person ground combat. Call on 10 weapons to fight twenty types of enemies. Fully interactive environments - morphing walls and floors, moving platforms and conveyors, realistic lighting and atmospheric effects. Explore the Star Wars universe up close and personal. Climb Catwalks, look and shoot up and down, jump off ledges, wade through garbage.', 'In <i>Dark Forces</i>, Kyle Katarn, a young mercenary, successfully infiltrated the Empire. <i>Jedi Knight</i> continues the story of Katarn as he embarks on a quest into his past and learns the mysterious ways of the Jedi. With this knowledge, he must stop seven Dark Jedi from unlocking the powers of a hidden Jedi burial ground. This task forces Katarn to decide his destiny. If he chooses the Dark side, he will come into enormous power. If he chooses the Light side, he faces seemingly insurmountable evil. Whatever path Katarn chooses will change the face of the galaxy forever.']"
571,Sim Theme Park - PC,"['Amuse yourself with endless variations on rides, themes, shops and much more in this virtual reality theme park builder.', ""Building a city is a great and noble endeavor, but sometimes you just want to let loose and have some <i>fun</i>. Electronic Arts lets you turn in your city manager's contract and open up an amusement park in <i>Sim Theme Park</i>."", ""Using all the strategic decision-making skills you learned from the other <i>Sim</i> games, you'll start with a tiny, newly built park with only a few rides, games, and concession stands, and try to turn it into an thriving must-see attraction that people will come from far and wide to visit. Of course, if this is your first simulation game, you'll still do fine--it'll just take you a bit longer to get the hang of it."", 'There\'s plenty to do: train the staff, take care of prices, maintain trails, and (of course) build new rides. One of the many clever features of <i>Sim Theme Park</i> is the ""visitor\'s perspective"" view that allows you to ride the rides and meet the staff as if you were a guest. This can be helpful for getting insight into why people are staying away from the Regurgitator or some other new ride. Better still, you can go online and visit preconstructed theme parks--and a little bit of corporate espionage goes a long way. Once you\'re feeling secure and a little cocky, post your own parks online and wait for the accolades to start rolling in.--<i>Rob Lightner</i>']"
572,Sony V3 RACING WHEEL,['Sony V3 RACING WHEEL  part number SLUH00041 or S-LUH0-004-1 Compatible with:']
573,Basic Memory Card for Sega Dreamcast,['Used to save games on the Sega Dreamcast system!']
574,Starsiege Tribes (Jewel Case) - PC,"['This first-person perspective game sets tribe against tribe. Although single players can train and practice alone, the real heart of this game is its multiplayer design. This focus on working as a member of a tribe, together with dynamic graphics and seamless integration between exteriors and interiors, make this game unique.', ""Any time a game is designed strictly for online play, that game's developer is taking a serious risk when bringing the game to market. After all, there are still plenty of gamers who prefer single-player titles. So in order for a multiplayer-only title to be successful, it must provide that elegant combination of great gameplay, painless online connectivity, and speedy performance to ensure its popularity and success. Starsiege: Tribes from Dynamix and Sierra comes awfully close to striking that perfect balance, and, although performance can be a problem, the game manages to provide one of the more memorable and addictive online gaming experiences yet."", ""Set in the universe formerly known as EarthSiege, Tribes is a first-person, squad-based action game in which you take part in team battles against one or more rival clans. Game variants include the obligatory deathmatch mode, along with capture the flag and a slew of other challenging game types: Defend and destroy requires you to guard your base while taking out your enemy's, capture and hold is like CTF except that you must grab and defend specific spots on the map, and find and retrieve is basically a big scavenger hunt with heavy weapons."", ""Gameplay is very similar to multiplayer mode in NovaLogic's Delta Force but with far better visuals and many more options for customizing your weapons loadout. The game features nearly 40 maps, each of which is a wonderfully rendered landscape with rolling hills and plenty of big, open spaces. As in Delta Force, a great deal of combat takes place at extreme ranges, but thanks to the superb 3D graphics engine, you can more easily make out your targets in Tribes."", 'You have the choice of light, medium, or heavy armor, each of which can accommodate a varying set of weapons and equipment. Players in heavy armor, for example, are the only ones who can carry heavy mortars (which are incredibly powerful and good for taking out base defenses from afar). Light-armored players, on the other hand, are the only ones capable of wielding the deadly (and oh so wonderful) sniper rifle in combat.', 'The weapons in Tribes are decent, with a few energy weapons, a slick gun the fires explosive discs, a short-range Gatling gun, and a trusty grenade launcher. The sniper rifle is the only ""instant effect"" gun in the bunch, as each of the other weapons fires a relatively slow projectile. This can make the game\'s long-distance combat rather difficult, as you must aim very carefully and learn to anticipate your target\'s moves - jumping madly into a free-for-all Quake II-style fray is usually a recipe for disaster in Tribes.', ""You can also carry a variety of other equipment, such as gun turrets, which are typically set up to automatically defend your base and your flag, and repair kits, which are always helpful for fixing damaged consoles and energy stations. Different types of consoles allow you to change your armor and weapons configurations, get a quick reload, or summon up a transport aircraft to fly. Like the armor variants, there are three types of aircraft in Tribes: scout, medium, and heavy. The larger craft can carry other players, making them useful for long-range mass attacks. The single-player scout craft, on the other hand, is quite speedy and has the ability to fire explosive rockets. Energy stations keep the aircraft and other types of consoles operational and are the key to survival in Tribes - take out an enemy's energy source, and they will be hard-pressed to mount a viable defense."", 'Once you\'re connected to a server, your results will most certainly vary. I rarely encountered any significant lag at any ""green"" server I joined, but the chat line in every game I played was littered with lag complaints from other players. I saw many players get stuck and drop from the game entirely, as well. On only one server did I have any lockups or dropped connections, and there it seemed to be a problem with that specific server\'s stability.', ""Playing Tribes can be pretty intimidating at first, as the game's meager single-player training missions do little to prepare you for the online carnage of a multiplayer battle. Also, despite the game's team structure, there are still plenty of freelancers in each game, running about with their own agenda and little regard for teamwork or joint objectives. And when a loose group of freelance hotshots runs into a well-organized team, the results are always the same: Complete and utter humiliation for the solo artists."", 'Tribes could stand to be improved in a few areas, notably in the matter of the weapons consoles. Currently, these stations almost always have long lines of players waiting for access. You can urge other players to hurry up with a prerecorded voice command, which rarely has any effect, or take advantage of the game\'s ""favorites"" feature to preset five custom weapons loadouts and speed up your own time at the weapons console. Perhaps if you could begin a mission - and respawn - with one of your favorite loadouts already in place, the console-glut problem would ease up a bit. You would then only have to visit the console for repairs and to change loadouts for a specific purpose (such as picking up a turret for deployment).', ""Also, the game could really benefit from more and better training missions. Firing each gun a few times does little to teach the intricacies of aiming a mortar, for example. And the Terra Nova style keyboard command layout takes quite a bit of getting used to, especially when used in combination with the jetpack (for which the game offers little guidance). One way to handle this deficiency would be to include a skirmish mode, so that you could at least get in a little practice before running smack into a team of seasoned veterans online. You can learn quickly in a multiplayer game, but you can also get wiped out repeatedly without ever getting the chance to see or learn from your opponent - and that's not going to keep new players coming back."", ""Finally, the game really needs to handle scores and statistics a little better. After a mission is completed, you get about ten seconds to call up the scores and see how you and your team fared. Unfortunately, the score window is too small and offers too little information - which is gone in a few seconds anyway, as the game automatically launches a new mission after the previous one is completed. First off, Tribes should present the stats in a larger, easier-to-read window. Secondly, Dynamix really should consider tracking assists or some similar stat. As it stands, the only player who gets credit for a kill is the one who gets in the final shot - never mind the sniper who took the bad guy down to 1-percent health to begin with. Lastly, why not save a player's accumulated stats locally? Kills, games won, flags captured: It may be a team game, but I kind of like to know when I've killed my 100th victim online."", ""In light of the game's outstanding gameplay, however, each of these criticisms is a minor point at best. Looking at the game as a whole, there's no denying that Starsiege: Tribes is an ambitious game that successfully delivers a rich and addictive multiplayer gaming experience. Any team-minded action fan will love this game, and I suspect that more than a few freelance types will also."", ""[Editor's Note: In the original version of this review, it was stated that specific ping values for Tribes servers were not provided. In actuality, Ping values are shown on the server listings. GameSpot regrets the error.] <i>--Michael E. Ryan</i> <br />--<i>Copyright 1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>""]"
575,Dreamcast TremorPak,"['Feel every bump, hit and blast with high quality vibration feedback. Vibration feedback device for use with all supporting controllers.']"
576,FIFA 2000 - PC,"['Soccer has never been very popular in the United States, if only because its 45-minute halves of continuous action are unlike the frequent start-stop dynamic of pro football, baseball, and basketball. Throw in the typically low score of a soccer match, and it isn\'t difficult to understand the general lack of interest in the game. That being the case, computer and video soccer games have traditionally been designed for foreign markets and later released in the US in hopes of making some additional sales. But EA Sports changed all that with FIFA for the Sega Genesis console, which proved to be successful both in Europe and the United States, and started one of EA Sports\' most important brands. And judging by FIFA 2000, this high-quality soccer franchise is still going strong. <P> FIFA 2000 adds the 12 teams of the MLS to the existing roster of countless other leagues from around the world. Now you too can fulfill the soccer matchup urologist\'s dream of pitting the Kansas City Wiz against the Dallas Burn. The game\'s strange opening sequence of old-time players meeting the new cyber soccer athlete can be forgiven thanks to a great soundtrack that includes UK musician Robbie Williams\' hit It\'s Only Us. <P> Get past the intro and you\'ll find there are four basic modes in FIFA 2000: exhibition, tournament, season, and training. It also contains three levels of play: amateur, pro, and world class. There is a big difference in the computer\'s skill level between the three settings, most noticeably in the speed of the opposing players. Great weaving runs will win matches for you in the amateur level but will become obsolete at the pro level in which short, crisp passing becomes the order of the day. The training area is a good place to try to adjust to the different speed of the players at the higher levels. In addition, you can practice various set pieces, such as penalty kicks, throw-ins, and free kicks. <P> Exhibition mode lets you match one team against another, and with teams available from such soccer-loving countries as England, Scotland, Germany, and Italy, plus classic teams from the past and a large number of international squads, the exhibition mode is almost a game in and of itself. However, the tournament mode offers more variety. Single-elimination tournaments are rare in US sports, and yet they generate huge excitement throughout the rest of the world. FIFA 2000\'s tournament mode lets you make a custom single-elimination tournament of the teams you want. I particularly enjoyed matching up the lesser English Premiership teams with teams from Scotland and Major League Soccer. But different combinations of teams from any of the available leagues can be put together. In addition, there is a custom league option that allows complete mixing and matching. For example, I took the teams from Scotland and Sweden and put them in a 22-team league, but I was disappointed that the game ended after one season. <P> The regular season mode lets you take a single team through the entire season of competition. For instance, if you\'re playing a great team from England, then you play not only league games, but also domestic and European cup competitions. Of further note, FIFA 2000 includes various classic teams, such as the 1968 Manchester United European Cup winners and the brilliant early-\'70s Ajax squad. EA made a curious aesthetic decision to use a brown-colored tint when two of the old-time teams play, as if to re-create the look of a grainy old film reel. But this effect merely interferes with the gameplay - specifically the appearance of the pass direction arrow, which is in all other cases unobtrusively color-coded - and it should have been an option rather than the default. <P> Once you get into the game, it\'s high-octane sports action at its finest. The motion-captured animation is superb overall and completely captures the essence of movement in soccer. Great crowd animations and stadium chants also add to the atmosphere. The varied heights of the players, their realistic facial expressions, and even their hairstyles all make you believe you\'re actually watching your favorite team. <P> FIFA 2000 not only looks good, but it also plays well. For instance, the controls are very responsive. You can perform a variety of kicks, tackles, and headers with various button presses and combinations. As you move with the ball, the pass direction arrow clearly points toward offscreen players and indicates the chances of the ball getting through to them. However, EA Sports could have improved FIFA 2000\'s player-management and simulation aspects. While it is possible to move players between teams, there are no filters to prevent lopsided moves. Each team has a certain amount of money, so you can\'t buy all the players you want, although it is still possible to pick up an entire team of good players. It would be nice to see an active intelligent trade market and managers making deals based on need. FIFA 2000 lets you play up to three seasons in a league, but without this active trading there is really no point, since the same teams remain powerful. This may be why the customizable league stops after one season - but it would be nice to have active trading and leagues that could continue year after year. <P> EA Sports brought on MLS commentator Julie ""Rowdy"" Foudy of the United States Woman\'s World Cup team to provide the color commentary along with ESPN\'s Phil Schoen. While FIFA fans have become familiar with the commentary style of respected English commentator John Motson, Foudy is pleasant enough, although it is disorienting to hear her talk about tackles on a football field (meaning American football) within the context of a soccer game. <P> While there is some room for improvement, FIFA 2000 delivers on almost every front and is a fast-paced, enjoyable, and challenging soccer game with numerous options and lots of depth. Though you may find yourself wishing FIFA 2000 offered even more, it is ultimately a must for any soccer fan.<I>--Colin Sloan</I> <P> --<i>Copyright &copy;1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>']"
577,Jade Cocoon: Story of Tamamayu - Playstation,"['Disc Only Tested Works', ""Let's face facts here. Pok&eacute;mon games will <I>never</I>  appear on the PlayStation since Nintendo has those rights locked up for  the next millennium. Still, if you are looking for a game that lets you  catch monsters, train them, and guide them through numerous battles, you  can still find that challenge on the PlayStation in <I>Jade Cocoon</I>.  That is, if you can live without those pesky Pok&eacute;mon  creatures."", '<I>Jade Cocoon</I> allows you to seek and collect millions of different  monster combinations. You catch the beasts in the course of your quest  to save your hometown. Once caught, the monsters help you build strength  and power through combat as you prepare for the final showdown.', '<I>Jade Cocoon</I> is a graphical tour de force from beginning to end.  The animation of the characters and monsters are smooth, and the special  effects for spells and other attacks are stunning. The audio is equally  impressive.', 'While the multimedia effects may have held our attention, it was the  gameplay that kept us coming back for another round of play. Success in  combat relies on the strategic development of monsters, coupled with   immediate tactical decisions during each battle. We spent hours testing  possible monster combinations, thanks to a well-implemented preview  window that lets players preview a monster merger before committing to  the change. There\'s little guidance in the manual on effective  combinations, but with a little common sense and a lot of mad-scientist  experimentation, you will ultimately prevail. And although this isn\'t Pok&eacute;mon, possibly ""catch \'em all."" <i>--T. Byrl Baker</i>', '<b>Pros:</b><br> <ul> <li>Terrific graphics <li>Detailed storyline <li>Millions of potential monsters </ul> <b>Cons:</b><br> <ul> <li>Cut-scenes are too long </ul>']"
578,Tiger Woods PGA Tour Collection - PC,"[""This special version of Tiger Woods PGA Tour puts together the complete Tiger Woods PGA Tour '99 and also the Pebble Beach, Las Vegas and Monterey expansion pack courses.""]"
579,Starcraft,"['USED VERY GOOD CONDITION. JEWEL CASE + MAP + MANUAL. FROM AMAZON PRO MERCHANT. EXPEDITED SHIPPING AVAILABLE. ---- As the military leader of our species, the player must gather the resources to train and expand the military and lead them to victory in a battle for land and power, as human exiles in the far-future struggle to survive on the rim of the galaxy. Engage in three different campaigns and 30 different missions in the battle for control over the fate of the galaxy.', ""StarCraft puts you in charge of a small group of humans exiled to the edge of the galaxy. Your mission is to acquire the resources needed to train and expand your military to defend against the Confederate Nations, who are also battling for control of the galaxy's precious resources. This game is designed for multiplayer use.""]"
580,You Don't Know Jack Vol. 5 - Offline - PC/Mac,"[""The moderator of <i>You Don't Know Jack</i> might be the only game show host in the history of celebrity judges, buzzers, and door-number-fours to consistently insult the contestants. (Well, maybe Bob Eubanks on a <i>really</i> bad day.) But <i>Jack</i> gets away with it--plus a whole lot of stuff that Bob Barker has only dreamed of--in a Gen-X answer to the typical trivia game format."", ""There's a lot to be said for earlier incarnations of <i>Jack</i>, including the original moderator (newer voices seem to be doing a derivative imitation) and sparse graphics that seemed retrocool in a <i>You Bet Your Life</i> 1950's fashion. But <i>You Don't Know Jack--Offline</i> offers Internet connectivity as well as <i>Wired Magazine</I>/<i>Matrix</I>-influenced screen decor."", ""Aesthetics aside, the brilliance of the game is its intersection of pop-culture history--movie and television characters, primarily--with textbook knowledge. Questions are put through the <i>Jack</i> blender until a quiz emerges that includes particle physics and <I>Starsky & Hutch</I>. Because of the clever (and prevalent) double entendres, <i>You Don't Know Jack--Offline</i> isn't appropriate family fare. Instead, pick up a copy for your favorite procrastinating graduate school student. They might not finish their doctoral thesis, but their life will never be the same. <i>--Jennifer Buckendorff</i>""]"
581,StarCraft Battle Chest - PC/Mac,"[""Real-time strategy goes to new levels as three intergalactic species fight for survival. Control the vagabond Terrans, enigmatic Protoss, or the bloodthirsty Zerg as they wage war on the edge of the galaxy. Includes support for Internet play over Battle.net, Blizzard's on-line gaming service."", ""This package includes both <i>Starcraft</i> and <i>Starcraft: Brood Wars</i> plus Prima Publishing's Official Strategy Guides, which offer you strategies, statistics, and details about new worlds to give you the upper hand in gaining control over the galaxy's resources.""]"
582,StarCraft Expansion Pack: Brood War - PC,"['StarCraft: Brood War continues the award winning saga of galactic warfare as the Zerg, Protoss and Terrans struggle for their continued survival. With the shattered Zerg hive torn apart by fierce in-fighting, the Protoss seek to reunite with their Dark Templar brethren and begin the rebuilding of their homeworld, Aiur.  The battle for galactic domination rages on with new units, new campaigns, and more explosive strategic combat.', 'This add-on for <I>Starcraft</I> expands your playing world with new story lines, weapons, worlds, and music. The game begins as Terran Emperor Mengsk I, having achieved his goal of total power over the human colonies, must now turn his attention to both the rising power of the woman he betrayed--Kerrigan, the infamous Zerg Queen of Blades--and a conspiracy deep within his own ranks. You must have a complete version of <I>Starcraft</I> for this product to function.']"
